,Date,Open,High,Low,Close,Volume,Turnover
487,2021-12-07,23.0,23.0,23.0,23.0,0.0,0.0
488,2021-12-08,19.0,19.0,19.0,19.0,0.0,0.0
489,2021-12-09,53.0,53.0,53.0,53.0,0.0,0.0
490,2021-12-10,73.0,73.0,73.0,73.0,0.0,0.0
491,2021-12-13,120.0,120.0,120.0,120.0,0.0,0.0
492,2021-12-14,176.0,176.0,176.0,176.0,0.0,0.0
493,2021-12-15,230.0,230.0,230.0,230.0,0.0,0.0
494,2021-12-16,97.0,97.0,97.0,97.0,0.0,0.0
495,2021-12-17,162.0,162.0,162.0,162.0,0.0,0.0
496,2021-12-20,241.0,241.0,241.0,241.0,0.0,0.0
497,2021-12-21,61.0,61.0,61.0,61.0,0.0,0.0
498,2021-12-22,56.0,56.0,56.0,56.0,0.0,0.0
499,2021-12-23,28.0,28.0,28.0,28.0,0.0,0.0
500,2021-12-27,43.0,43.0,43.0,43.0,0.0,0.0
501,2021-12-28,62.0,62.0,62.0,62.0,0.0,0.0
502,2021-12-29,89.0,89.0,89.0,89.0,0.0,0.0
503,2021-12-30,55.0,55.0,55.0,55.0,0.0,0.0
504,2021-12-31,42.0,42.0,42.0,42.0,0.0,0.0
505,2022-01-03,29.0,29.0,29.0,29.0,0.0,0.0
506,2022-01-04,49.0,49.0,49.0,49.0,0.0,0.0
507,2022-01-05,118.0,118.0,118.0,118.0,0.0,0.0
508,2022-01-06,185.0,185.0,185.0,185.0,0.0,0.0
509,2022-01-07,105.0,105.0,105.0,105.0,0.0,0.0
510,2022-01-10,205.0,205.0,205.0,205.0,0.0,0.0
511,2022-01-11,57.0,57.0,57.0,57.0,0.0,0.0
512,2022-01-12,64.0,64.0,64.0,64.0,0.0,0.0
513,2022-01-13,103.0,103.0,103.0,103.0,0.0,0.0
514,2022-01-14,199.0,199.0,199.0,199.0,0.0,0.0
515,2022-01-18,299.0,299.0,299.0,299.0,0.0,0.0
516,2022-01-19,312.0,312.0,312.0,312.0,0.0,0.0
517,2022-01-20,264.0,264.0,264.0,264.0,0.0,0.0
518,2022-01-21,525.0,525.0,525.0,525.0,0.0,0.0
519,2022-01-24,792.0,792.0,792.0,792.0,0.0,0.0
520,2022-01-25,159.0,159.0,159.0,159.0,0.0,0.0
521,2022-01-26,193.0,193.0,193.0,193.0,0.0,0.0
522,2022-01-27,429.0,429.0,429.0,429.0,0.0,0.0
523,2022-01-28,542.0,542.0,542.0,542.0,0.0,0.0
524,2022-01-31,118.0,118.0,118.0,118.0,0.0,0.0
525,2022-02-01,48.0,48.0,48.0,48.0,0.0,0.0
526,2022-02-02,55.0,55.0,55.0,55.0,0.0,0.0
527,2022-02-03,150.0,150.0,150.0,150.0,0.0,0.0
528,2022-02-04,265.0,265.0,265.0,265.0,0.0,0.0
529,2022-02-07,199.0,199.0,199.0,199.0,0.0,0.0
530,2022-02-08,242.0,242.0,242.0,242.0,0.0,0.0
531,2022-02-09,148.0,148.0,148.0,148.0,0.0,0.0
532,2022-02-10,349.0,349.0,349.0,349.0,0.0,0.0
533,2022-02-11,375.0,375.0,375.0,375.0,0.0,0.0
534,2022-02-14,486.0,486.0,486.0,486.0,0.0,0.0
535,2022-02-15,181.0,181.0,181.0,181.0,0.0,0.0
536,2022-02-16,157.0,157.0,157.0,157.0,0.0,0.0
537,2022-02-17,156.0,156.0,156.0,156.0,0.0,0.0
538,2022-02-18,178.0,178.0,178.0,178.0,0.0,0.0
539,2022-02-22,337.0,337.0,337.0,337.0,0.0,0.0
540,2022-02-23,394.0,394.0,394.0,394.0,0.0,0.0
541,2022-02-24,792.0,792.0,792.0,792.0,0.0,0.0
542,2022-02-25,73.0,73.0,73.0,73.0,0.0,0.0
543,2022-02-28,104.0,104.0,104.0,104.0,0.0,0.0
544,2022-03-01,133.0,133.0,133.0,133.0,0.0,0.0
545,2022-03-02,99.0,99.0,99.0,99.0,0.0,0.0
546,2022-03-03,125.0,125.0,125.0,125.0,0.0,0.0
547,2022-03-04,275.0,275.0,275.0,275.0,0.0,0.0
548,2022-03-07,486.0,486.0,486.0,486.0,0.0,0.0
549,2022-03-08,500.0,500.0,500.0,500.0,0.0,0.0
550,2022-03-09,97.0,97.0,97.0,97.0,0.0,0.0
551,2022-03-10,241.0,241.0,241.0,241.0,0.0,0.0
552,2022-03-11,338.0,338.0,338.0,338.0,0.0,0.0
553,2022-03-14,724.0,724.0,724.0,724.0,0.0,0.0
554,2022-03-15,390.0,390.0,390.0,390.0,0.0,0.0
555,2022-03-16,174.0,174.0,174.0,174.0,0.0,0.0
556,2022-03-17,67.0,67.0,67.0,67.0,0.0,0.0
557,2022-03-18,57.0,57.0,57.0,57.0,0.0,0.0
558,2022-03-21,61.0,61.0,61.0,61.0,0.0,0.0
559,2022-03-22,74.0,74.0,74.0,74.0,0.0,0.0
560,2022-03-23,80.0,80.0,80.0,80.0,0.0,0.0
561,2022-03-24,98.0,98.0,98.0,98.0,0.0,0.0
562,2022-03-25,187.0,187.0,187.0,187.0,0.0,0.0
563,2022-03-28,139.0,139.0,139.0,139.0,0.0,0.0
564,2022-03-29,74.0,74.0,74.0,74.0,0.0,0.0
565,2022-03-30,25.0,25.0,25.0,25.0,0.0,0.0
566,2022-03-31,73.0,73.0,73.0,73.0,0.0,0.0
567,2022-04-01,76.0,76.0,76.0,76.0,0.0,0.0
568,2022-04-04,47.0,47.0,47.0,47.0,0.0,0.0
569,2022-04-05,116.0,116.0,116.0,116.0,0.0,0.0
570,2022-04-06,271.0,271.0,271.0,271.0,0.0,0.0
571,2022-04-07,261.0,261.0,261.0,261.0,0.0,0.0
572,2022-04-08,215.0,215.0,215.0,215.0,0.0,0.0
573,2022-04-11,311.0,311.0,311.0,311.0,0.0,0.0
574,2022-04-12,276.0,276.0,276.0,276.0,0.0,0.0
575,2022-04-13,241.0,241.0,241.0,241.0,0.0,0.0
576,2022-04-14,278.0,278.0,278.0,278.0,0.0,0.0
577,2022-04-18,321.0,321.0,321.0,321.0,0.0,0.0
578,2022-04-19,285.0,285.0,285.0,285.0,0.0,0.0
579,2022-04-20,97.0,97.0,97.0,97.0,0.0,0.0
580,2022-04-21,251.0,251.0,251.0,251.0,0.0,0.0
581,2022-04-22,412.0,412.0,412.0,412.0,0.0,0.0
582,2022-04-25,440.0,440.0,440.0,440.0,0.0,0.0
583,2022-04-26,392.0,392.0,392.0,392.0,0.0,0.0
584,2022-04-27,591.0,591.0,591.0,591.0,0.0,0.0
585,2022-04-28,523.0,523.0,523.0,523.0,0.0,0.0
586,2022-04-29,332.0,332.0,332.0,332.0,0.0,0.0
587,2022-05-02,628.0,628.0,628.0,628.0,0.0,0.0
588,2022-05-03,279.0,279.0,279.0,279.0,0.0,0.0
589,2022-05-04,332.0,332.0,332.0,332.0,0.0,0.0
590,2022-05-05,379.0,379.0,379.0,379.0,0.0,0.0
591,2022-05-06,616.0,616.0,616.0,616.0,0.0,0.0
592,2022-05-09,1063.0,1063.0,1063.0,1063.0,0.0,0.0
593,2022-05-10,911.0,911.0,911.0,911.0,0.0,0.0
594,2022-05-11,784.0,784.0,784.0,784.0,0.0,0.0
595,2022-05-12,1044.0,1044.0,1044.0,1044.0,0.0,0.0
596,2022-05-13,202.0,202.0,202.0,202.0,0.0,0.0
597,2022-05-16,188.0,188.0,188.0,188.0,0.0,0.0
598,2022-05-17,171.0,171.0,171.0,171.0,0.0,0.0
599,2022-05-18,346.0,346.0,346.0,346.0,0.0,0.0
600,2022-05-19,323.0,323.0,323.0,323.0,0.0,0.0
601,2022-05-20,364.0,364.0,364.0,364.0,0.0,0.0
602,2022-05-23,143.0,143.0,143.0,143.0,0.0,0.0
603,2022-05-24,282.0,282.0,282.0,282.0,0.0,0.0
604,2022-05-25,82.0,82.0,82.0,82.0,0.0,0.0
605,2022-05-26,40.0,40.0,40.0,40.0,0.0,0.0
606,2022-05-27,36.0,36.0,36.0,36.0,0.0,0.0
607,2022-05-31,33.0,33.0,33.0,33.0,0.0,0.0
608,2022-06-01,52.0,52.0,52.0,52.0,0.0,0.0
609,2022-06-02,38.0,38.0,38.0,38.0,0.0,0.0
610,2022-06-03,25.0,25.0,25.0,25.0,0.0,0.0
611,2022-06-06,54.0,54.0,54.0,54.0,0.0,0.0
612,2022-06-07,66.0,66.0,66.0,66.0,0.0,0.0
613,2022-06-08,51.0,51.0,51.0,51.0,0.0,0.0
614,2022-06-09,111.0,111.0,111.0,111.0,0.0,0.0
615,2022-06-10,251.0,251.0,251.0,251.0,0.0,0.0
616,2022-06-13,801.0,801.0,801.0,801.0,0.0,0.0
617,2022-06-14,850.0,850.0,850.0,850.0,0.0,0.0
618,2022-06-15,337.0,337.0,337.0,337.0,0.0,0.0
619,2022-06-16,1092.0,1092.0,1092.0,1092.0,0.0,0.0
620,2022-06-17,566.0,566.0,566.0,566.0,0.0,0.0
621,2022-06-21,158.0,158.0,158.0,158.0,0.0,0.0
622,2022-06-22,270.0,270.0,270.0,270.0,0.0,0.0
623,2022-06-23,261.0,261.0,261.0,261.0,0.0,0.0
624,2022-06-24,68.0,68.0,68.0,68.0,0.0,0.0
625,2022-06-27,65.0,65.0,65.0,65.0,0.0,0.0
626,2022-06-28,89.0,89.0,89.0,89.0,0.0,0.0
627,2022-06-29,199.0,199.0,199.0,199.0,0.0,0.0
628,2022-06-30,342.0,342.0,342.0,342.0,0.0,0.0
629,2022-07-01,205.0,205.0,205.0,205.0,0.0,0.0
630,2022-07-05,313.0,313.0,313.0,313.0,0.0,0.0
631,2022-07-06,182.0,182.0,182.0,182.0,0.0,0.0
632,2022-07-07,59.0,59.0,59.0,59.0,0.0,0.0
633,2022-07-08,56.0,56.0,56.0,56.0,0.0,0.0
634,2022-07-11,132.0,132.0,132.0,132.0,0.0,0.0
635,2022-07-12,158.0,158.0,158.0,158.0,0.0,0.0
636,2022-07-13,211.0,211.0,211.0,211.0,0.0,0.0
637,2022-07-14,379.0,379.0,379.0,379.0,0.0,0.0
638,2022-07-15,90.0,90.0,90.0,90.0,0.0,0.0
639,2022-07-18,60.0,60.0,60.0,60.0,0.0,0.0
640,2022-07-19,48.0,48.0,48.0,48.0,0.0,0.0
641,2022-07-20,31.0,31.0,31.0,31.0,0.0,0.0
642,2022-07-21,42.0,42.0,42.0,42.0,0.0,0.0
643,2022-07-22,45.0,45.0,45.0,45.0,0.0,0.0
644,2022-07-25,60.0,60.0,60.0,60.0,0.0,0.0
645,2022-07-26,70.0,70.0,70.0,70.0,0.0,0.0
646,2022-07-27,45.0,45.0,45.0,45.0,0.0,0.0
647,2022-07-28,50.0,50.0,50.0,50.0,0.0,0.0
648,2022-07-29,46.0,46.0,46.0,46.0,0.0,0.0
649,2022-08-01,48.0,48.0,48.0,48.0,0.0,0.0
650,2022-08-02,32.0,32.0,32.0,32.0,0.0,0.0
651,2022-08-03,36.0,36.0,36.0,36.0,0.0,0.0
652,2022-08-04,37.0,37.0,37.0,37.0,0.0,0.0
653,2022-08-05,46.0,46.0,46.0,46.0,0.0,0.0
654,2022-08-08,18.0,18.0,18.0,18.0,0.0,0.0
655,2022-08-09,58.0,58.0,58.0,58.0,0.0,0.0
656,2022-08-10,23.0,23.0,23.0,23.0,0.0,0.0
657,2022-08-11,28.0,28.0,28.0,28.0,0.0,0.0
658,2022-08-12,24.0,24.0,24.0,24.0,0.0,0.0
659,2022-08-15,19.0,19.0,19.0,19.0,0.0,0.0
660,2022-08-16,21.0,21.0,21.0,21.0,0.0,0.0
661,2022-08-17,34.0,34.0,34.0,34.0,0.0,0.0
662,2022-08-18,30.0,30.0,30.0,30.0,0.0,0.0
663,2022-08-19,57.0,57.0,57.0,57.0,0.0,0.0
664,2022-08-22,88.0,88.0,88.0,88.0,0.0,0.0
665,2022-08-23,62.0,62.0,62.0,62.0,0.0,0.0
666,2022-08-24,75.0,75.0,75.0,75.0,0.0,0.0
667,2022-08-25,34.0,34.0,34.0,34.0,0.0,0.0
668,2022-08-26,97.0,97.0,97.0,97.0,0.0,0.0
669,2022-08-29,137.0,137.0,137.0,137.0,0.0,0.0
670,2022-08-30,146.0,146.0,146.0,146.0,0.0,0.0
